Caters,trendy,HasTV,NoiseLevel,OutdoorSeating,WiFi_no,business_id,stars,suggestion
0,0,1,1,0,0,Manzetti's Tavern (6401 Morrison Blvd),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,0,0,0,Medium Rare (5241 Dundas Street W),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,0,0,0,1,TJ's Steakhouse (3000 Paradise Rd),4,"You should provide catering services.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,0,0,1,0,Empress Court (3570 Las Vegas Blvd),3.5,You should provide catering services.
1,0,0,3,1,1,Auberge du Dragon Rouge (8870 Rue Lajeunesse),4.5,Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,0,0,Claim Jumper Restaurant & Saloon (10125 W McDowell Rd),2.5,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,O'malley's Rockcliff (2589 Wooster Rd),2.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Barbies (1343 Michèle-Bohec),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,0,1,0,Oak Steakhouse Charlotte (4777 Sharon Rd),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.
0,0,1,1,0,0,Big Foot Smoke House And Bar (16945 Leslie Street),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,2,1,0,Texas Roadhouse (16079 N Arrowhead Fountains Center Dr),3.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,0,"Bertolucci Brazilian Steakhouse (2895 N Green Valley Pkwy, Ste A)",2.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,1,0,1,1,1,"Beso Steakhouse (3720 S Las Vegas Blvd, Ste 260)",3,"You should provide catering services.|Customers prefer not to have trendy atmosphere, so you may need to change the ambience of your store.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks."
0,0,0,3,0,0,Steak ’n Shake (2005 Pittsburgh Mills Blvd),3,"You should provide catering services.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Table 31 (130 Landings Dr),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,2,0,0,Lakewood Village Tavern (13437 Madison Ave),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,1,Mickey & Mooch (8128 Providence Rd),3,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,0,Moxie's Grill & Bar (8001 11 St SE),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,2,0,1,Cabin Club (30651 Detroit Rd),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,Mister Steer (1198 Rue Sainte-Catherine O),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,Bob Taylor's Ranch House (6250 Rio Vista St),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,The Keg Steakhouse + Bar - Pointe-Claire (6815 Autoroute Transcanadienne F017),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,0,1,1,0,XXI Chophouse (21 Nashville Road),3.5,Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,0,Saddle Ranch Chop House (9375 W Coyotes Blvd),2.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,1,"Cleaver -  Butchered Meats, Seafood & Cocktails (3900 Paradise Rd, Ste F)",4.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,1,0,Magnan (2602 Rue Saint-Patrick),3.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,2,1,1,Quaker Steak & Lube (7834 Reynolds Rd),3,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,1,0,Texas Roadhouse (8510 S Emerald Dr),3.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,0,0,"Black & Bleu American Grill (9343 E Shea Blvd, Ste B135)",3.5,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,Roy's Restaurant (620 E Flamingo Rd),4.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,1,1,0,"P.J. Clarke's New York Chophouse (The Forum Shops At Caesars Palace, 3500 S Las Vegas Blvd)",4,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,1,The Keg Steakhouse + Bar - York Street (165 York Street),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,2,1,0,Robbie's (1569 Route 138),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,0,Diamond Men's Club (1628 Fall St),3,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,0,0,0,"Outback Steakhouse (3785 Las Vegas Blvd S, Fl 4)",3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Lone Star Steakhouse (2841 W. Highway 74),2.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,0,Applebee's Grill + Bar (10921 Carolina Place Pkwy),2.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,0,Château d'Or (21 Chemin de la Grande-Côte),5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,0,0,1,1,Canyon Creek (1900 The Queensway),3.5,You should provide catering services.
1,1,1,1,1,0,"Yolie's Brazilian Steak House (3900 Paradise Rd, Ste Z)",3,"Customers prefer not to have trendy atmosphere, so you may need to change the ambience of your store.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks."
1,0,1,1,1,0,Square 22 Restaurant and Bar (13485 Pearl Rd),4,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,0,1,Bon Appétit Chéri (1200 Boulevard Chomedey),3.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,1,1,Lone Star Steakhouse & Saloon (10610 Centrum Pkwy),2.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,0,0,0,Wagon Wheel (36457 N Cave Creek Rd),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,1,0,1,Hyde Park Prime Steakhouse (123 W Prospect Ave),4.5,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,1,1,1,Texas Roadhouse (1155 Washington Pike),3,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,0,Rincon De Buenos Aires (5300 Spring Mountain Rd),4.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
1,0,1,1,1,0,Central Grille (8525 N Central Ave),3.5,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,1,1,1,0,Chops (5322 Chemin Queen-Mary),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,0,0,1,0,Montana's BBQ & Bar (5622 Signal Hill Ctr Sw),2.5,You should provide catering services.
0,0,1,0,1,1,Le Steak Frites St-Paul (86 Avenue de la Gare),3.5,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.
1,0,1,3,0,1,Fleming's Prime Steakhouse & Wine Bar (750 N Midvale Blvd),3.5,"The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,0,0,0,0,Logan's Roadhouse (102 Bass Pro Dr),2.5,"You should provide catering services.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
1,0,1,2,1,1,The Steakhouse at The Pass (2800 S Boulder Hwy),4,The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.
0,0,0,1,0,0,Pickle Bill's Lobster House (101 River St),3,"You should provide catering services.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
0,0,1,0,1,1,Local Jerk (8 Avenue Duluth E),4,You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.
0,0,1,1,0,1,Anthony's Prime Steak & Seafood (12300 Las Vegas Blvd S),4,"You should provide catering services.|The noise from TV may cause disturbance when customers talk with each others.|Please try to reduce the noise! No one want to be interruptted when they are enjoying steaks.|Please offer outdoor seating, some people may prefer to enjoy steaks outside."
